year,median_sale_amount,median_assessed_value,count_sales,smoke_impact,avg_daily_max_aqi,max_daily_aqi,smoke_impact_lag_1,smoke_impact_lag_3,max_daily_aqi_lag_1,max_daily_aqi_aqi_lag_3,transaction_volume,transaction_volume_lag
2001,159900.0,90000.0,2657,322.56636934733217,52.391780821917806,192,,,,,2657,
2002,172000.0,90340.0,11240,1360.9519950800056,51.26575342465753,187,322.56636934733217,,192.0,,11240,2657.0
2003,193000.0,96115.0,11440,1.866735307271655,51.33972602739726,130,1360.9519950800056,,187.0,,11440,11240.0
2004,219900.0,103000.0,15929,4.575840660184866,47.63661202185792,115,1.866735307271655,322.56636934733217,130.0,192.0,15929,11440.0
2005,240000.0,105290.0,14543,29.531473299676136,48.43561643835616,133,4.575840660184866,1360.9519950800056,115.0,187.0,14543,15929.0
2006,250000.0,111825.0,10040,51.71905827521394,43.74246575342466,108,29.531473299676136,1.866735307271655,133.0,130.0,10040,14543.0
2007,265000.0,147670.0,8850,433.478695638758,43.75342465753425,126,51.71905827521394,4.575840660184866,108.0,115.0,8850,10040.0
2008,239000.0,159105.0,6304,196.24714187598826,44.9207650273224,94,433.478695638758,29.531473299676136,126.0,133.0,6304,8850.0
2009,210000.0,163355.0,6698,497.57139145771674,39.602739726027394,89,196.24714187598826,51.71905827521394,94.0,108.0,6698,6304.0
2010,217000.0,175370.0,7098,460.32913414946984,37.6,100,497.57139145771674,433.478695638758,89.0,126.0,7098,6698.0
2011,210000.0,176330.0,6319,74.96968885900448,41.61095890410959,115,460.32913414946984,196.24714187598826,100.0,94.0,6319,7098.0
2012,220000.0,183930.0,6114,1158.7404846052982,48.887978142076506,94,74.96968885900448,497.57139145771674,115.0,89.0,6114,6319.0
2013,217500.0,167795.0,6244,28.573097059761615,53.78904109589041,127,1158.7404846052982,460.32913414946984,94.0,100.0,6244,6114.0
2014,205000.0,154300.0,7065,11.183724009754847,49.347945205479455,105,28.573097059761615,74.96968885900448,127.0,115.0,7065,6244.0
2015,210000.0,153650.0,8413,54.69011515167511,48.778082191780825,90,11.183724009754847,1158.7404846052982,105.0,94.0,8413,7065.0
2016,210000.0,148885.0,8152,68.74379801678474,40.666666666666664,77,54.69011515167511,28.573097059761615,90.0,127.0,8152,8413.0
2017,222500.0,154740.0,7919,608.818850826434,41.07397260273972,85,68.74379801678474,11.183724009754847,77.0,105.0,7919,8152.0
2018,225000.0,151550.0,7781,856.8087859095523,40.320547945205476,80,608.818850826434,54.69011515167511,85.0,90.0,7781,7919.0
2019,225000.0,147730.0,8289,45.13093741198458,39.52054794520548,92,856.8087859095523,68.74379801678474,80.0,77.0,8289,7781.0
2020,267000.0,161500.0,14850,35.29340744835581,39.775956284153004,98,45.13093741198458,608.818850826434,92.0,85.0,14850,8289.0
